"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","改装","取引の事情等"
"中古マンション等","不動産取引価格情報","","13113","東京都","渋谷区","大山町","代々木上原",9,130000000,"","２ＬＤＫ",55,"","","","","2023年","ＲＣ","","住宅","","","","２中住専",60,300,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13113","東京都","渋谷区","大山町","代々木上原",5,120000000,"","２ＬＤＫ",55,"","","","","2019年","ＲＣ","住宅","住宅","","","","２中住専",60,300,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13113","東京都","渋谷区","神山町","神泉",10,51000000,"","１Ｋ",30,"","","","","2003年","ＳＲＣ","住宅","住宅","","","","２種住居",60,400,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13113","東京都","渋谷区","神山町","代々木公園",6,17000000,"","１ＤＫ",15,"","","","","1985年","ＳＲＣ","住宅","住宅","","","","近隣商業",80,300,"2024年第4四半期","改装済み",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13113","東京都","渋谷区","桜丘町","渋谷",8,1500000000,"","",300,"","ほぼ長方形",21,1000,"2003年","ＲＣ","共同住宅","住宅","南西","区道",8.1,"２種住居",60,300,"2024年第4四半期","",""
"宅地(土地)","不動産取引価格情報","住宅地","13113","東京都","渋谷区","笹塚","笹塚",8,500000000,4100000,"",400,1200000,"ほぼ長方形",16.8,"","","","","住宅","南西","区道",3.5,"１種住居",60,300,"2024年第4四半期","",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13113","東京都","渋谷区","笹塚","笹塚",5,34000000,"","",50,"","ほぼ長方形",4.5,55,"1976年","","住宅","住宅","南東","区道",2.9,"１種住居",60,300,"2024年第4四半期","",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13113","東京都","渋谷区","笹塚","笹塚",11,120000000,"","",80,"","不整形",3,95,"2024年","木造","住宅","住宅","南西","区道",3.2,"１中住専",60,200,"2024年第4四半期","",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13113","東京都","渋谷区","笹塚","笹塚",10,53000000,"","",50,"","ほぼ長方形",8.9,45,"1958年","木造","住宅","その他","南西","区道",3.2,"１中住専",60,200,"2024年第4四半期","","隣地の購入"
"宅地(土地)","不動産取引価格情報","住宅地","13113","東京都","渋谷区","笹塚","笹塚",7,260000000,3400000,"",250,1000000,"ほぼ正方形",16.3,"","","","","","北","道路",2,"１中住専",60,200,"2024年第4四半期","",""
"宅地(土地と建物)","不動産取引価格情報","商業地","13113","東京都","渋谷区","笹塚","笹塚",7,150000000,"","",35,"","ほぼ正方形",6,150,"2018年","ＲＣ","共同住宅","その他","南東","区道",9,"近隣商業",80,300,"2024年第4四半期","",""
"中古マンション等","不動産取引価格情報","","13113","東京都","渋谷区","笹塚","笹塚",4,19000000,"","１Ｋ",20,"","","","","1996年","ＳＲＣ","住宅","住宅","","","","商業",80,400,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13113","東京都","渋谷区","笹塚","笹塚",3,24000000,"","１Ｋ",20,"","","","","2003年","ＳＲＣ","","住宅","","","","商業",80,500,"2024年第4四半期","",""
"中古マンション等","不動産取引価格情報","","13113","東京都","渋谷区","笹塚","笹塚",8,28000000,"","１Ｋ",20,"","","","","2013年","ＲＣ","住宅","住宅","","","","商業",80,500,"2024年第4四半期","",""
"中古マンション等","不動産取引価格情報","","13113","東京都","渋谷区","笹塚","笹塚",6,12000000,"","２ＤＫ",35,"","","","","1976年","ＲＣ","","住宅","","","","商業",80,500,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13113","東京都","渋谷区","笹塚","笹塚",3,110000000,"","３ＬＤＫ",65,"","","","","1997年","ＲＣ","住宅","住宅","","","","２中住専",60,200,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13113","東京都","渋谷区","笹塚","笹塚",10,49000000,"","１ＬＤＫ",25,"","","","","2023年","ＲＣ","","住宅","","","","２種住居",60,400,"2024年第4四半期","",""
"中古マンション等","不動産取引価格情報","","13113","東京都","渋谷区","笹塚","笹塚",4,35000000,"","１ＬＤＫ＋Ｓ",45,"","","","","1978年","ＳＲＣ","住宅","その他","","","","商業",80,500,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13113","東京都","渋谷区","笹塚","笹塚",4,45000000,"","１Ｋ",30,"","","","","2018年","ＲＣ","住宅","住宅","","","","商業",80,500,"2024年第4四半期","",""
"中古マンション等","不動産取引価格情報","","13113","東京都","渋谷区","笹塚","笹塚",11,53000000,"","１ＤＫ",25,"","","","","2023年","ＲＣ","住宅","住宅","","","","２種住居",60,400,"2024年第4四半期","",""
"中古マンション等","不動産取引価格情報","","13113","東京都","渋谷区","笹塚","笹塚",10,69000000,"","１ＬＤＫ",35,"","","","","2023年","ＲＣ","","住宅","","","","２種住居",60,400,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13113","東京都","渋谷区","笹塚","笹塚",11,52000000,"","１ＬＤＫ",25,"","","","","2023年","ＲＣ","住宅","住宅","","","","２種住居",60,400,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13113","東京都","渋谷区","笹塚","笹塚",7,26000000,"","",15,"","","","","2014年","ＲＣ","","住宅","","","","商業",80,500,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13113","東京都","渋谷区","笹塚","笹塚",8,23000000,"","１Ｋ",20,"","","","","2003年","ＲＣ","住宅","住宅","","","","２中住専",60,200,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13113","東京都","渋谷区","猿楽町","代官山",4,570000000,"","３ＬＤＫ",125,"","","","","2024年","ＲＣ","住宅","","","","","２低住専",60,200,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13113","東京都","渋谷区","渋谷","表参道",7,11000000,"","１Ｋ",15,"","","","","1977年","ＳＲＣ","","その他","","","","商業",80,500,"2024年第4四半期","未改装",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","13113","東京都","渋谷区","渋谷","渋谷",7,1500000000,"","",230,"","ほぼ長方形",17,730,"2012年","ＲＣ","倉庫、駐車場","倉庫","南西","区道",8,"２種住居",60,400,"2024年第4四半期","",""
"中古マンション等","不動産取引価格情報","","13113","東京都","渋谷区","渋谷","渋谷",3,230000000,"","２ＬＤＫ",55,"","","","","2020年","ＲＣ","","住宅","","","","商業",80,800,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13113","東京都","渋谷区","渋谷","渋谷",10,66000000,"","１ＬＤＫ",40,"","","","","2000年","ＳＲＣ","住宅","住宅","","","","商業",80,500,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13113","東京都","渋谷区","渋谷","渋谷",6,230000000,"","２ＬＤＫ",70,"","","","","2025年","ＲＣ","住宅","住宅","","","","商業",80,500,"2024年第4四半期","未改装",""
"宅地(土地)","不動産取引価格情報","住宅地","13113","東京都","渋谷区","松濤","渋谷",12,4100000000,15000000,"",890,4600000,"長方形",24,"","","","","事務所","北西","区道",7.2,"１低住専",60,150,"2024年第4四半期","",""
"宅地(土地)","不動産取引価格情報","住宅地","13113","東京都","渋谷区","松濤","神泉",9,2100000000,16000000,"",420,5000000,"ほぼ長方形",17,"","","","","住宅","北東","区道",7,"１低住専",60,150,"2024年第4四半期","",""
"宅地(土地)","不動産取引価格情報","住宅地","13113","東京都","渋谷区","松濤","神泉",6,2400000000,14000000,"",540,4400000,"長方形",18,"","","","","","北西","区道",7.2,"１低住専",60,150,"2024年第4四半期","",""
"中古マンション等","不動産取引価格情報","","13113","東京都","渋谷区","松濤","神泉",4,45000000,"","１ＬＤＫ",40,"","","","","1970年","ＲＣ","住宅","住宅","","","","１種住居",60,300,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13113","東京都","渋谷区","松濤","神泉",7,110000000,"","１ＬＤＫ",70,"","","","","2008年","ＲＣ","住宅","","","","","２種住居",60,400,"2024年第4四半期","未改装",""
"宅地(土地)","不動産取引価格情報","商業地","13113","東京都","渋谷区","神宮前","表参道",3,1000000000,27000000,"",120,8200000,"ほぼ長方形",8,"","","","","店舗","北東","区道",4.5,"２種住居",60,300,"2024年第4四半期","",""
"中古マンション等","不動産取引価格情報","","13113","東京都","渋谷区","神宮前","外苑前",7,130000000,"","１ＬＤＫ",45,"","","","","2013年","ＲＣ","住宅","住宅","","","","１中住専",60,200,"2024年第4四半期","未改装",""
"中古マンション等","不動産取引価格情報","","13113","東京都","渋谷区","神宮前","外苑前",8,170000000,"","２ＬＤＫ",60,"","","","","2002年","ＲＣ","住宅","住宅","","","","１中住専",60,200,"2024年第4四半期","改装済み",""
"宅地(土地)","不動産取引価格情報","住宅地","13113","東京都","渋谷区","神宮前","北参道",9,170000000,8700000,"",65,2600000,"ほぼ長方形",5.8,"","","","","住宅","南東","私道",2,"１種住居",60,300,"2024年第4四半期","",""
